wall_time,global_step,episode,ep_steps,final_distance_cm,success,ep_reward
20260910_163807,7,1,7,4.832,1,-0.3829
20260910_163809,25,2,18,4.567,1,-1.2583
20260910_163810,30,3,5,4.853,1,-0.334
20260910_163812,39,4,9,4.608,1,-0.6691
20260910_163813,41,5,2,4.45,1,-0.0971
20260910_163948,28,1,28,4.92,1,-1.7409
20260910_163949,29,2,1,4.951,1,-0.0495
20260910_163951,44,3,15,4.937,1,-0.9978
20260910_163954,67,4,23,4.842,1,-1.5431
20260910_163955,75,5,8,4.97,1,-0.4984
20260910_163956,76,6,1,3.363,1,-0.0336
20260910_164000,126,7,50,6.525,0,-3.3539
20260910_164002,138,8,12,4.831,1,-0.8945
20260910_164004,139,9,1,4.655,1,-0.0466
20260910_164005,144,10,5,4.862,1,-0.2545
20260910_164007,165,11,21,4.83,1,-1.3139
20260910_164009,173,12,8,4.737,1,-0.4523
20260910_164010,179,13,6,4.986,1,-0.3382
20260910_164012,198,14,19,4.667,1,-1.1085
20260910_164013,199,15,1,3.108,1,-0.0311
20260910_164016,227,16,28,4.797,1,-1.9219
20260910_164017,228,17,1,4.098,1,-0.041
20260910_164020,252,18,24,4.917,1,-1.7587
20260910_164021,261,19,9,4.815,1,-0.6688
20260910_164023,267,20,6,4.699,1,-0.3626
20260910_164024,271,21,4,4.92,1,-0.2322
20260910_164026,284,22,13,4.802,1,-0.9517
20260910_164027,285,23,1,3.492,1,-0.0349
20260910_164028,290,24,5,4.668,1,-0.3352
20260910_164030,298,25,8,4.659,1,-0.5392
20260910_164032,324,26,26,4.78,1,-1.8068
20260910_164034,329,27,5,4.839,1,-0.2637
20260910_164036,352,28,23,4.864,1,-1.2554
20260910_164038,362,29,10,4.635,1,-0.5837
20260910_164040,374,30,12,4.97,1,-0.8123
20260910_164041,382,31,8,4.912,1,-0.4696
20260910_164042,383,32,1,4.183,1,-0.0418
20260910_164044,393,33,10,4.801,1,-0.6926
20260910_164045,399,34,6,4.181,1,-0.3875
20260910_164222,40,1,40,4.926,1,-2.6656
20260910_164224,46,2,6,4.856,1,-0.3534
20260910_164225,60,3,14,4.91,1,-0.923
